iter	Passed	Remaining
0	49	49397
1	60	29974
2	71	23631
3	77	19238
4	83	16668
5	91	15205
6	99	14137
7	107	13298
8	111	12294
9	118	11734
10	125	11274
11	130	10747
12	136	10349
13	140	9885
14	142	9374
15	148	9112
16	154	8952
17	158	8645
18	162	8390
19	165	8121
20	169	7908
21	172	7678
22	177	7554
23	180	7336
24	184	7212
25	190	7131
26	197	7134
27	208	7237
28	216	7262
29	221	7174
30	230	7198
31	236	7152
32	241	7072
33	248	7046
34	252	6951
35	256	6862
36	259	6754
37	263	6662
38	266	6558
39	272	6540
40	276	6458
41	280	6398
42	282	6296
43	283	6163
44	284	6035
45	287	5966
46	289	5863
47	291	5788
48	296	5751
49	298	5677
50	303	5653
51	307	5607
52	313	5599
53	317	5569
54	322	5549
55	326	5498
56	330	5465
57	333	5422
58	338	5399
59	343	5386
60	349	5383
61	358	5420
62	360	5368
63	364	5327
64	372	5353
65	376	5328
66	379	5285
67	384	5270
68	387	5230
69	393	5229
70	399	5231
71	405	5232
72	411	5219
73	414	5186
74	417	5149
75	420	5115
76	423	5072
77	426	5044
78	430	5020
79	434	4999
80	437	4967
81	442	4948
82	444	4913
83	447	4879
84	450	4845
85	453	4814
86	455	4778
87	459	4756
88	461	4723
89	465	4703
90	468	4677
91	471	4652
92	474	4629
93	479	4617
94	481	4583
95	483	4553
96	488	4551
97	493	4546
98	499	4546
99	503	4535
100	507	4513
101	509	4482
102	512	4462
103	514	4433
104	518	4418
105	521	4401
106	524	4379
107	539	4452
108	542	4431
109	548	4434
110	553	4431
111	558	4425
112	566	4449
113	572	4451
114	576	4435
115	584	4457
116	590	4453
117	592	4429
118	605	4482
119	608	4463
120	622	4524
121	626	4508
122	627	4473
123	633	4476
124	635	4448
125	641	4451
126	649	4464
127	656	4473
128	659	4453
129	672	4502
130	678	4500
131	684	4504
132	690	4501
133	697	4510
134	700	4489
135	704	4477
136	707	4458
137	717	4484
138	770	4774
139	790	4858
140	794	4841
141	798	4823
142	803	4814
143	806	4791
144	808	4769
145	811	4748
146	814	4727
147	818	4710
148	820	4688
149	823	4667
150	827	4652
151	830	4635
152	835	4623
153	839	4612
154	845	4610
155	848	4588
156	852	4579
157	856	4564
158	861	4557
159	864	4540
160	873	4551
161	875	4530
162	879	4515
163	883	4504
164	885	4483
165	889	4468
166	892	4451
167	894	4431
168	898	4416
169	901	4402
170	905	4391
171	909	4378
172	912	4362
173	915	4343
174	917	4327
175	921	4315
176	926	4306
177	929	4293
178	933	4281
179	937	4271
180	941	4260
181	946	4252
182	949	4239
183	952	4222
184	955	4209
185	959	4199
186	965	4196
187	968	4182
188	972	4171
189	974	4154
190	978	4145
191	981	4131
192	986	4123
193	995	4134
194	1002	4138
195	1009	4142
196	1014	4133
197	1017	4123
198	1023	4121
199	1068	4273
200	1084	4309
201	1097	4337
202	1108	4350
203	1124	4386
204	1131	4386
205	1136	4382
206	1146	4393
207	1153	4392
208	1160	4392
209	1166	4390
210	1175	4394
211	1182	4396
212	1189	4395
213	1194	4388
214	1201	4385
215	1208	4386
216	1215	4384
217	1224	4392
218	1230	4388
219	1234	4375
220	1243	4384
221	1249	4379
222	1258	4383
223	1266	4386
224	1274	4390
225	1280	4386
226	1283	4369
227	1293	4379
228	1298	4371
229	1307	4377
230	1316	4383
231	1326	4389
232	1328	4373
233	1330	4355
234	1333	4342
235	1340	4339
236	1346	4335
237	1349	4319
238	1353	4310
239	1357	4300
240	1362	4291
241	1369	4288
242	1383	4311
243	1391	4310
244	1394	4296
245	1397	4284
246	1402	4274
247	1406	4264
248	1408	4249
249	1411	4234
250	1414	4220
251	1417	4206
252	1420	4193
253	1422	4178
254	1425	4165
255	1428	4151
256	1434	4146
257	1439	4139
258	1441	4125
259	1446	4117
260	1450	4106
261	1455	4100
262	1459	4089
263	1462	4078
264	1467	4069
265	1469	4056
266	1474	4046
267	1477	4035
268	1480	4022
269	1485	4017
270	1491	4011
271	1494	3999
272	1496	3985
273	1500	3974
274	1504	3965
275	1509	3958
276	1512	3946
277	1515	3937
278	1518	3924
279	1522	3915
280	1526	3905
281	1530	3896
282	1533	3884
283	1539	3881
284	1542	3869
285	1544	3856
286	1550	3852
287	1554	3843
288	1558	3833
289	1562	3826
290	1564	3812
291	1569	3805
292	1575	3801
293	1577	3788
294	1582	3781
295	1586	3772
296	1591	3767
297	1596	3761
298	1600	3751
299	1605	3746
300	1609	3737
301	1619	3742
302	1624	3737
303	1629	3729
304	1632	3719
305	1635	3709
306	1641	3706
307	1648	3703
308	1652	3694
309	1657	3688
310	1660	3679
311	1665	3672
312	1669	3663
313	1677	3664
314	1686	3666
315	1691	3662
316	1702	3668
317	1708	3663
318	1715	3663
319	1722	3661
320	1725	3649
321	1734	3651
322	1742	3651
323	1755	3662
324	1759	3654
325	1770	3659
326	1776	3656
327	1788	3663
328	1790	3651
329	1800	3655
330	1808	3655
331	1822	3666
332	1830	3666
333	1837	3663
334	1840	3653
335	1848	3652
336	1855	3649
337	1857	3638
338	1870	3647
339	1881	3651
340	1887	3647
341	1891	3638
342	1897	3634
343	1901	3626
344	1904	3615
345	1906	3603
346	1910	3595
347	1916	3590
348	1919	3580
349	1922	3570
350	1926	3561
351	1930	3553
352	1934	3544
353	1938	3538
354	1943	3530
355	1946	3521
356	1948	3509
357	1953	3502
358	1957	3495
359	1961	3486
360	1963	3475
361	1965	3463
362	1968	3453
363	1971	3444
364	1975	3436
365	1982	3434
366	1985	3424
367	1990	3417
368	1992	3408
369	1995	3397
370	2002	3394
371	2007	3388
372	2013	3384
373	2020	3381
374	2026	3377
375	2030	3369
376	2035	3364
377	2041	3358
378	2043	3348
379	2047	3340
380	2052	3335
381	2155	3487
382	2163	3485
383	2170	3481
384	2177	3477
385	2184	3475
386	2192	3473
387	2199	3469
388	2202	3460
389	2207	3453
390	2210	3442
391	2216	3438
392	2220	3429
393	2224	3421
394	2227	3410
395	2229	3400
396	2232	3390
397	2235	3381
398	2239	3373
399	2243	3364
400	2247	3357
401	2251	3349
402	2254	3339
403	2258	3331
404	2260	3321
405	2265	3314
406	2269	3306
407	2273	3298
408	2276	3289
409	2280	3282
410	2284	3273
411	2286	3263
412	2289	3253
413	2293	3246
414	2296	3236
415	2299	3228
416	2303	3219
417	2307	3212
418	2311	3205
419	2314	3196
420	2318	3188
421	2324	3183
422	2329	3177
423	2332	3168
424	2335	3159
425	2338	3151
426	2341	3141
427	2345	3134
428	2347	3124
429	2350	3115
430	2352	3106
431	2355	3096
432	2359	3089
433	2364	3083
434	2369	3078
435	2372	3069
436	2377	3063
437	2381	3055
438	2385	3048
439	2389	3041
440	2393	3033
441	2395	3024
442	2398	3016
443	2402	3008
444	2407	3002
445	2410	2994
446	2415	2988
447	2417	2978
448	2421	2971
449	2426	2965
450	2428	2956
451	2430	2946
452	2432	2937
453	2435	2928
454	2439	2922
455	2442	2914
456	2445	2905
457	2449	2898
458	2454	2892
459	2457	2884
460	2462	2878
461	2466	2872
462	2470	2865
463	2475	2859
464	2479	2852
465	2484	2847
466	2489	2841
467	2492	2833
468	2496	2826
469	2502	2822
470	2506	2815
471	2509	2807
472	2511	2798
473	2514	2790
474	2518	2783
475	2522	2776
476	2526	2769
477	2527	2760
478	2530	2752
479	2533	2744
480	2540	2741
481	2543	2733
482	2546	2725
483	2552	2720
484	2558	2717
485	2564	2712
486	2569	2706
487	2575	2702
488	2579	2695
489	2591	2696
490	2595	2691
491	2607	2692
492	2611	2685
493	2625	2688
494	2633	2686
495	2643	2686
496	2652	2684
497	2657	2679
498	2662	2672
499	2673	2673
500	2677	2666
501	2687	2665
502	2706	2674
503	2712	2669
504	2718	2664
505	2723	2659
506	2727	2652
507	2738	2651
508	2743	2646
509	2746	2638
510	2752	2634
511	2755	2626
512	2759	2619
513	2762	2611
514	2765	2604
515	2767	2596
516	2771	2589
517	2775	2582
518	2778	2575
519	2781	2567
520	2785	2560
521	2788	2553
522	2790	2544
523	2793	2537
524	2797	2530
525	2799	2522
526	2804	2516
527	2806	2508
528	2809	2501
529	2815	2496
530	2818	2489
531	2820	2481
532	2824	2474
533	2829	2469
534	2834	2463
535	2837	2456
536	2841	2449
537	2845	2443
538	2848	2436
539	2851	2429
540	2856	2423
541	2859	2416
542	2862	2409
543	2866	2402
544	2870	2396
545	2874	2389
546	2876	2382
547	2878	2374
548	2880	2366
549	2884	2359
550	2887	2353
551	2890	2346
552	2893	2339
553	2897	2332
554	2901	2326
555	2904	2319
556	2909	2313
557	2912	2306
558	2914	2299
559	2917	2292
560	2921	2286
561	2924	2279
562	2927	2272
563	2932	2266
564	2937	2261
565	2940	2254
566	2943	2248
567	2946	2240
568	2949	2234
569	2952	2227
570	2956	2221
571	2960	2215
572	2965	2209
573	2968	2202
574	2971	2196
575	2974	2189
576	2978	2183
577	2981	2176
578	2990	2174
579	2992	2167
580	2995	2160
581	2999	2154
582	3003	2148
583	3010	2144
584	3016	2140
585	3021	2134
586	3028	2131
587	3038	2128
588	3049	2128
589	3054	2122
590	3062	2119
591	3068	2114
592	3076	2111
593	3086	2109
594	3095	2106
595	3100	2101
596	3104	2095
597	3109	2089
598	3128	2094
599	3135	2090
600	3153	2093
601	3193	2111
602	3201	2107
603	3209	2104
604	3218	2101
605	3224	2096
606	3227	2089
607	3232	2083
608	3236	2077
609	3240	2071
610	3243	2065
611	3247	2059
612	3250	2052
613	3254	2046
614	3257	2039
615	3260	2032
616	3265	2026
617	3268	2020
618	3272	2014
619	3278	2009
620	3280	2002
621	3283	1995
622	3286	1988
623	3289	1982
624	3295	1977
625	3299	1971
626	3308	1968
627	3316	1964
628	3319	1958
629	3327	1954
630	3331	1948
631	3335	1942
632	3340	1936
633	3342	1929
634	3346	1923
635	3349	1917
636	3354	1911
637	3363	1908
638	3369	1903
639	3373	1897
640	3379	1892
641	3382	1886
642	3388	1881
643	3394	1876
644	3399	1870
645	3402	1864
646	3405	1858
647	3408	1851
648	3414	1846
649	3416	1839
650	3421	1834
651	3425	1828
652	3429	1822
653	3432	1815
654	3436	1809
655	3440	1804
656	3445	1798
657	3448	1792
658	3452	1786
659	3455	1780
660	3460	1774
661	3462	1768
662	3466	1762
663	3471	1756
664	3476	1751
665	3478	1744
666	3483	1739
667	3486	1732
668	3489	1726
669	3493	1720
670	3498	1715
671	3501	1709
672	3507	1704
673	3510	1697
674	3515	1692
675	3517	1686
676	3524	1681
677	3530	1676
678	3534	1670
679	3538	1665
680	3542	1659
681	3548	1654
682	3554	1649
683	3559	1644
684	3563	1638
685	3569	1634
686	3577	1629
687	3583	1624
688	3590	1620
689	3595	1615
690	3601	1610
691	3606	1605
692	3614	1601
693	3619	1595
694	3625	1591
695	3629	1585
696	3633	1579
697	3636	1573
698	3641	1567
699	3643	1561
700	3647	1555
701	3653	1550
702	3658	1545
703	3663	1540
704	3668	1535
705	3673	1529
706	3678	1524
707	3681	1518
708	3686	1512
709	3690	1507
710	3692	1500
711	3696	1495
712	3700	1489
713	3704	1483
714	3707	1477
715	3711	1472
716	3714	1466
717	3718	1460
718	3722	1454
719	3728	1449
720	3733	1444
721	3737	1439
722	3741	1433
723	3744	1427
724	3749	1422
725	3752	1416
726	3756	1410
727	3760	1404
728	3764	1399
729	3767	1393
730	3770	1387
731	3774	1381
732	3783	1378
733	3789	1373
734	3793	1367
735	3796	1361
736	3798	1355
737	3803	1350
738	3807	1344
739	3813	1339
740	3816	1334
741	3822	1329
742	3831	1325
743	3839	1321
744	3855	1319
745	3861	1314
746	3871	1311
747	3873	1305
748	3882	1301
749	3890	1296
750	3896	1291
751	3904	1287
752	3908	1281
753	3915	1277
754	3920	1272
755	3927	1267
756	3933	1262
757	3938	1257
758	3952	1255
759	3957	1249
760	3962	1244
761	3966	1238
762	3972	1233
763	3979	1229
764	3983	1223
765	3987	1218
766	3992	1212
767	3998	1207
768	4002	1202
769	4006	1196
770	4012	1191
771	4016	1186
772	4021	1180
773	4025	1175
774	4030	1170
775	4034	1164
776	4039	1159
777	4042	1153
778	4045	1147
779	4049	1142
