iter	Passed	Remaining
0	4	4831
1	8	4281
2	10	3611
3	13	3339
4	16	3296
5	20	3329
6	23	3326
7	28	3562
8	31	3496
9	34	3393
10	37	3387
11	41	3440
12	47	3582
13	50	3548
14	64	4253
15	68	4195
16	71	4130
17	74	4054
18	77	3987
19	80	3922
20	83	3875
21	85	3821
22	88	3756
23	93	3815
24	97	3783
25	101	3816
26	105	3787
27	108	3753
28	111	3730
29	114	3706
30	118	3701
31	122	3711
32	125	3684
33	130	3696
34	136	3752
35	139	3741
36	143	3726
37	147	3724
38	151	3744
39	155	3738
40	159	3729
41	162	3717
42	165	3680
43	168	3664
44	172	3650
45	176	3660
46	178	3617
47	181	3603
48	184	3587
49	188	3583
50	191	3570
51	199	3637
52	202	3626
53	205	3598
54	210	3609
55	214	3617
56	228	3778
57	232	3768
58	236	3766
59	239	3750
60	242	3725
61	245	3713
62	249	3706
63	252	3694
64	255	3675
65	258	3661
66	262	3652
67	265	3633
68	265	3588
69	268	3568
70	270	3539
71	273	3521
72	275	3501
73	277	3476
74	280	3457
75	283	3443
76	286	3435
77	289	3421
78	291	3395
79	293	3380
80	296	3368
81	299	3347
82	302	3340
83	304	3320
84	306	3303
85	309	3285
86	311	3265
87	314	3260
88	316	3241
89	319	3229
90	321	3210
91	323	3192
92	325	3177
93	328	3165
94	331	3158
95	334	3145
96	335	3120
97	337	3103
98	339	3089
99	341	3071
100	343	3054
101	345	3041
102	347	3026
103	350	3015
104	352	3002
105	354	2990
106	355	2967
107	358	2958
108	360	2950
109	363	2941
110	365	2931
111	367	2916
112	368	2894
113	369	2871
114	371	2858
115	374	2852
116	377	2850
117	380	2841
118	381	2826
119	383	2814
120	384	2794
121	387	2785
122	389	2778
123	391	2768
124	394	2763
125	397	2756
126	399	2743
127	401	2734
128	403	2725
129	405	2712
130	407	2702
131	410	2700
132	413	2696
133	416	2689
134	418	2678
135	421	2675
136	423	2670
137	424	2653
138	426	2640
139	427	2628
140	432	2633
141	434	2625
142	438	2627
143	441	2621
144	445	2625
145	448	2623
146	451	2617
147	453	2611
148	456	2605
149	458	2600
150	461	2596
151	463	2587
152	466	2582
153	469	2581
154	472	2577
155	475	2570
156	478	2570
157	480	2560
158	483	2555
159	485	2550
160	487	2541
161	489	2532
162	492	2527
163	495	2524
164	498	2520
165	500	2513
166	503	2509
167	505	2503
168	507	2495
169	509	2487
170	510	2473
171	513	2469
172	514	2458
173	516	2453
174	517	2441
175	519	2429
176	521	2425
177	523	2418
178	525	2411
179	528	2409
180	531	2403
181	533	2397
182	535	2390
183	537	2381
184	539	2377
185	545	2389
186	548	2384
187	550	2378
188	554	2381
189	557	2374
190	559	2368
191	563	2373
192	566	2367
193	569	2364
194	571	2360
195	575	2359
196	577	2354
197	579	2349
198	582	2344
199	584	2338
200	586	2331
201	588	2326
202	590	2320
203	593	2316
204	595	2310
205	597	2303
206	599	2298
207	602	2294
208	605	2290
209	607	2284
210	610	2282
211	613	2278
212	615	2273
213	617	2266
214	619	2263
215	622	2257
216	624	2251
217	626	2247
218	629	2245
219	631	2239
220	634	2235
221	636	2231
222	639	2226
223	641	2221
224	643	2216
225	645	2212
226	647	2205
227	649	2199
228	652	2195
229	654	2190
230	656	2185
231	659	2183
232	661	2178
233	664	2174
234	666	2168
235	668	2165
236	671	2160
237	673	2157
238	676	2153
239	678	2148
240	680	2142
241	682	2137
242	684	2131
243	686	2127
244	688	2122
245	691	2119
246	694	2115
247	696	2111
248	698	2106
249	700	2102
250	703	2097
251	704	2092
252	706	2087
253	709	2084
254	711	2080
255	714	2075
256	716	2071
257	718	2066
258	721	2063
259	723	2060
260	726	2056
261	728	2051
262	730	2047
263	733	2045
264	736	2041
265	739	2041
266	742	2038
267	745	2035
268	747	2030
269	750	2028
270	752	2024
271	756	2023
272	759	2021
273	761	2017
274	763	2012
275	765	2008
276	767	2003
277	770	2001
278	772	1997
279	774	1992
280	776	1987
281	778	1983
282	782	1982
283	784	1978
284	786	1974
285	789	1969
286	792	1969
287	794	1964
288	797	1960
289	800	1958
290	802	1954
291	804	1951
292	807	1947
293	808	1942
294	811	1939
295	815	1938
296	817	1933
297	819	1931
298	821	1926
299	825	1925
300	827	1921
301	830	1918
302	832	1915
303	836	1915
304	838	1911
305	841	1908
306	843	1904
307	846	1901
308	849	1898
309	851	1895
310	853	1891
311	856	1887
312	858	1885
313	860	1880
314	863	1877
315	865	1873
316	868	1870
317	870	1867
318	874	1865
319	876	1862
320	878	1858
321	881	1855
322	883	1851
323	885	1847
324	887	1843
325	890	1840
326	892	1836
327	894	1832
328	896	1829
329	900	1827
330	902	1824
331	904	1820
332	906	1815
333	908	1811
334	910	1807
335	912	1802
336	914	1798
337	916	1794
338	918	1791
339	921	1788
340	923	1784
341	925	1780
342	926	1775
343	929	1771
344	933	1771
345	935	1768
346	938	1767
347	940	1762
348	942	1758
349	945	1755
350	947	1752
351	949	1748
352	953	1747
353	955	1743
354	957	1740
