price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
850,41.401708,2.1540767,55,2,1,0,0,1, norte,0,0,0,1,Unknown,Gràcia,2.026455178,0,piso,0,0.094110936,Unknown,0 - 5,11.5 - 15,3.6363636363636362,1.8181818181818181
725,41.4072214,2.135569,37,2,1,1,0,1, sur,0,1,0,1,Unknown,Sant Gervasi - La Bonanova,3.582408795,0,piso,0,0.902560762,35 - 71,0 - 5,+15,5.405405405405405,2.7027027027027026
950,41.4115078,2.1646085,72,3,1,0,0,1,Unknown,0,1,0,1,Unknown,El Baix Guinardó,2.663025107,0,piso,0,0.188176602,Unknown,0 - 5,11.5 - 15,4.166666666666667,1.3888888888888888
750,41.402256,2.1407637,45,1,1,1,0,1, norte,0,1,0,0,Unknown,Sant Gervasi - La Bonanova,2.910067381,0,piso,0,0.892917045,71 - 111,0 - 5,+15,2.2222222222222223,2.2222222222222223
990,41.4053265,2.1469287,45,1,1,0,0,1, sur,0,1,0,0,gas,Sarrià-Sant Gervasi,2.727149091,0,piso,0,0.293784378,Unknown,0 - 5,+15,2.2222222222222223,2.2222222222222223
610,41.3694991,2.1423122,51,0,1,0,0,1,Unknown,0,1,0,0,Unknown,Hostafrancs,3.081956551,0,estudio,0,0.645271183,Unknown,Unknown,11.5 - 15,0.0,1.9607843137254901
950,41.4047154,2.1516545,65,2,1,0,0,1,Unknown,0,1,0,0,Unknown,Vila de Gràcia,2.412689223,0,piso,0,0.154168887,Unknown,0 - 5,+15,3.076923076923077,1.5384615384615385
775,41.4038298,2.1819804,52,1,1,0,0,1,Unknown,0,1,0,0,Unknown,La Sagrada Família,2.037694807,0,piso,0,0.383600462,0 - 35,0 - 5,11.5 - 15,1.9230769230769231,1.9230769230769231
895,41.4000377,2.1577259,44,1,1,0,1,1, norte,0,1,0,1,Unknown,Vila de Gràcia,1.690567617,0,piso,0,0.449522198,35 - 71,0 - 5,+15,2.272727272727273,2.272727272727273
695,41.4055955,2.2036608,51,3,1,0,0,1,Unknown,0,0,0,0,Unknown,El Poblenou,3.435107683,0,piso,0,0.210434682,Unknown,0 - 5,+15,5.882352941176471,1.9607843137254901
867,41.4000394,2.1524908,30,1,1,0,1,1, sur,1,1,0,1,Unknown,Vila de Gràcia,1.984515832,0,atico,0,0.22351041,Unknown,0 - 5,+15,3.3333333333333335,3.3333333333333335
