price,latitude,longitude,sq_meters_built,rooms,bathrooms,balcony,terrace,exterior,orientation,rooftop,elevator,pool,ac,heating,neighborhood,dist_city_center,garage,property_type,garden,dist_closest_station,property_age_cat,floor_cat,neighborhood_rent_index_cluster,rooms_per_100_sqm,bathrooms_per_100_sqm
2290000,41.409071,2.0998499,532,5,6,1,1,0, sur,0,0,1,1,individual,Vallvidrera - El Tibidabo i les Planes,6.302847054,1,chalet_independiente,1,2.949903631,0 - 40,0 - 4,3371 - 5042,0.9398496240601504,1.1278195488721805
90000,41.434545,2.1711102,50,1,1,0,0,1, norte,0,1,0,1,bomba,Can Peguera - El Turó de la Peira,5.189265492,0,piso,0,0.329114642,40 - 70,Unknown,0 - 2337,2.0,2.0
145000,41.4445183,2.1753092,53,3,1,1,0,1,Unknown,0,0,0,0,Unknown,Verdun,6.313667857,0,piso,0,0.284070738,Unknown,0 - 4,0 - 2337,5.660377358490566,1.8867924528301887
675000,41.3922093,2.1533676,120,4,2,0,1,0, norte,1,1,0,1,individual,L'Antiga Esquerra de l'Eixample,1.462059957,0,atico,0,0.443717379,40 - 70,Unknown,3371 - 5042,3.3333333333333335,1.6666666666666667
319000,41.4133854,2.1622459,69,3,1,0,0,1,Unknown,1,1,0,0,Unknown,El Baix Guinardó,2.906147156,0,piso,0,0.371853737,70 - 120,5 - 11,3371 - 5042,4.3478260869565215,1.4492753623188406
88000,41.4230512,2.1551272,64,2,1,0,0,0, este,0,0,0,0,Unknown,Horta Guinardó,4.100011785,0,piso,0,0.168446934,40 - 70,Unknown,0 - 2337,3.125,1.5625
262000,41.411514,2.2099013,80,3,1,1,0,1, norte,0,1,0,0,gas,Diagonal Mar i el Front Marítim del Poblenou,4.245795985,0,piso,0,0.396058611,40 - 70,0 - 4,+5042,3.75,1.25
345000,41.402153,2.2006748,87,3,1,1,0,1, norte,0,0,0,1,Unknown,Sant Martí,3.016425142,0,piso,0,0.284321802,70 - 120,0 - 4,0 - 2337,3.4482758620689653,1.1494252873563218
210000,41.4058427,2.1749567,55,2,1,0,0,0, oeste,0,1,0,0,Unknown,La Sagrada Família,2.039531099,0,piso,0,0.163055953,70 - 120,Unknown,3371 - 5042,3.6363636363636362,1.8181818181818181
359000,41.3999021,2.1795058,61,0,1,0,0,1,Unknown,0,1,0,1,Unknown,Eixample,1.556272604,0,estudio,0,0.069243062,0 - 40,5 - 11,+5042,0.0,1.639344262295082
970000,41.3922897,2.131192,160,3,2,1,1,1,Unknown,0,1,0,1,Unknown,Sarrià-Sant Gervasi,3.268429002,1,piso,0,0.671387818,40 - 70,Unknown,+5042,1.875,1.25
105000,41.4432912,2.1745868,51,2,1,1,0,1, este,0,0,0,1,Unknown,Nou Barris,6.173439603,0,piso,0,0.334032663,40 - 70,0 - 4,0 - 2337,3.9215686274509802,1.9607843137254901
148000,41.3806424,2.1733646,52,1,1,1,0,0,Unknown,0,0,0,0,Unknown,El Raval,0.856918707,0,piso,0,0.093577026,120 - 150,Unknown,2337 - 3371,1.9230769230769231,1.9230769230769231
380000,41.4167197,2.1620032,154,5,2,0,1,0,Unknown,0,1,0,1,gas,Horta Guinardó,3.272952038,0,piso,0,0.608802539,40 - 70,Unknown,0 - 2337,3.2467532467532467,1.2987012987012987
545000,41.393561,2.1593541,95,3,2,1,1,1,Unknown,0,1,0,1,Unknown,La Dreta de l'Eixample,1.0834491,0,piso,0,0.252273241,120 - 150,0 - 4,+5042,3.1578947368421053,2.1052631578947367
335000,41.4131978,2.1389488,89,3,1,1,0,0, sur,0,1,0,1,gas,Vallcarca i els Penitents,3.820364953,0,piso,0,0.469630161,40 - 70,0 - 4,3371 - 5042,3.3707865168539324,1.1235955056179776
650000,41.3920606,2.1467767,135,4,2,0,0,1,Unknown,0,1,0,1,gas,L'Antiga Esquerra de l'Eixample,1.985926661,0,piso,0,0.525848275,40 - 70,0 - 4,3371 - 5042,2.962962962962963,1.4814814814814814
209000,41.4391565,2.154067,80,3,1,0,1,0,Unknown,0,1,0,0,Unknown,Horta,5.852611027,0,piso,0,0.267571954,Unknown,5 - 11,0 - 2337,3.75,1.25
266000,41.4046577,2.1844509,69,3,1,1,0,0, este,0,1,0,1,gas,El Clot,2.223594008,0,piso,0,0.321825681,70 - 120,5 - 11,3371 - 5042,4.3478260869565215,1.4492753623188406
257000,41.4230885,2.1499527,68,2,1,0,0,0, norte,0,1,0,0,Unknown,La Teixonera,4.253757871,0,piso,0,0.176088269,0 - 40,Unknown,0 - 2337,2.9411764705882355,1.4705882352941178
250000,41.4162574,2.2048297,83,3,1,1,0,1, oeste,0,1,0,0,gas,Sant Martí de Provençals,4.293259459,0,piso,0,0.463374249,40 - 70,5 - 11,2337 - 3371,3.6144578313253013,1.2048192771084338
140000,41.415343,2.1793809,60,1,1,0,0,1,Unknown,0,1,0,1,Unknown,El Guinardó,3.152888546,0,piso,0,0.179324821,Unknown,Unknown,2337 - 3371,1.6666666666666667,1.6666666666666667
129000,41.3710971,2.1651136,65,2,1,0,0,1, sur,0,1,0,1,bomba,El Poble Sec - Parc de Montjuïc,1.911548941,0,piso,0,0.283597622,Unknown,Unknown,3371 - 5042,3.076923076923077,1.5384615384615385
195000,41.4193196,2.1709202,69,2,1,0,1,0, sur,0,0,0,1,bomba,El Guinardó,3.495792974,0,piso,0,0.452752764,40 - 70,0 - 4,2337 - 3371,2.898550724637681,1.4492753623188406
279000,41.4099322,2.1734122,90,3,1,1,0,0, este,0,1,0,0,Unknown,La Sagrada Família,2.467899111,0,piso,0,0.235633854,40 - 70,0 - 4,3371 - 5042,3.3333333333333335,1.1111111111111112
85000,41.418872,2.2147511,66,2,1,0,0,1, norte,0,0,0,0,Unknown,Sant Martí,5.085052431,0,piso,0,0.38632095,Unknown,5 - 11,0 - 2337,3.0303030303030303,1.5151515151515151
139000,41.3776096,2.170169,40,2,1,0,0,0,Unknown,0,0,0,1,electric,El Raval,1.144788103,0,piso,0,0.350014645,Unknown,0 - 4,2337 - 3371,5.0,2.5
1890000,41.392999,2.1542967,250,4,4,0,1,0,Unknown,1,1,0,1,gas,Eixample,1.421742036,0,piso,0,0.557290556,70 - 120,Unknown,+5042,1.6,1.6
289000,41.4136952,2.1373131,64,1,1,0,0,1,Unknown,0,1,0,1,individual,El Putxet i el Farró,3.95391996,0,piso,0,0.59422594,40 - 70,0 - 4,+5042,1.5625,1.5625
90000,41.4246955,2.1929272,37,0,1,0,0,1, sur,1,1,0,0,Unknown,La Sagrera,4.520487826,0,atico,0,0.550427881,40 - 70,5 - 11,2337 - 3371,0.0,2.7027027027027026
259000,41.3718105,2.1410789,65,3,1,1,0,1, sur,1,1,0,1,gas,La Bordeta,2.999481763,0,atico,0,0.425174272,40 - 70,5 - 11,2337 - 3371,4.615384615384615,1.5384615384615385
750000,41.3981479,2.160524,112,3,2,0,1,0,Unknown,1,1,0,1,Unknown,Eixample,1.383481999,0,atico,0,0.274963269,70 - 120,Unknown,+5042,2.6785714285714284,1.7857142857142858
220000,41.4159697,2.1429086,60,3,1,1,1,1, sur,0,0,0,1,gas,Vallcarca i els Penitents,3.850567336,0,piso,0,0.303455655,40 - 70,0 - 4,3371 - 5042,5.0,1.6666666666666667
650000,41.3982606,2.1437308,148,3,2,0,0,1, sur,0,1,0,0,gas,Sant Gervasi - Galvany,2.470561377,0,piso,0,0.880241876,70 - 120,0 - 4,+5042,2.027027027027027,1.3513513513513513
280000,41.4153831,2.1861834,81,3,1,1,0,1, sur,0,1,0,1,Unknown,Navas,3.344556524,0,piso,0,0.115313791,40 - 70,0 - 4,3371 - 5042,3.7037037037037037,1.2345679012345678
110000,41.4242015,2.196371,40,1,1,1,0,1, sur,0,0,0,0,electric,La Verneda i la Pau,4.601472518,0,piso,0,0.644922343,40 - 70,Unknown,0 - 2337,2.5,2.5
144500,41.4514474,2.1921821,80,3,1,0,0,0,Unknown,0,0,0,0,Unknown,La Trinitat Vella,7.308198988,0,piso,0,0.309525668,Unknown,Unknown,0 - 2337,3.75,1.25
179000,41.4095238,2.1580298,45,2,1,0,0,1, sur,0,0,0,1,Unknown,Vila de Gràcia,2.601779485,0,piso,0,0.553625936,Unknown,Unknown,3371 - 5042,4.444444444444445,2.2222222222222223
149000,41.3737424,2.1442513,61,2,1,0,0,0,Unknown,0,0,0,0,Unknown,Hostafrancs,2.658805849,0,piso,0,0.186216354,120 - 150,0 - 4,2337 - 3371,3.278688524590164,1.639344262295082
250000,41.3784674,2.1675256,68,2,1,0,0,1,Unknown,0,0,0,0,individual,Ciutat Vella,1.068046588,0,piso,0,0.3885044,+150,0 - 4,3371 - 5042,2.9411764705882355,1.4705882352941178
154000,41.3796855,2.164556,52,2,1,0,1,0, sur,1,0,0,1,Unknown,El Raval,1.0174667,0,atico,0,0.110956282,Unknown,0 - 4,2337 - 3371,3.8461538461538463,1.9230769230769231
795000,41.3939921,2.1793345,70,2,1,1,0,1, norte,0,1,0,1,gas,Eixample,1.037472685,0,piso,0,0.239223031,Unknown,0 - 4,+5042,2.857142857142857,1.4285714285714286
125000,41.4501798,2.1923353,68,3,1,1,0,1,Unknown,0,1,0,0,Unknown,La Trinitat Vella,7.175244326,0,piso,0,0.184919192,Unknown,0 - 4,0 - 2337,4.411764705882353,1.4705882352941178
299000,41.4177068,2.1603993,73,3,1,0,1,1, sur,0,1,0,0,Unknown,El Carmel,3.409231808,0,piso,0,0.778688141,40 - 70,Unknown,0 - 2337,4.109589041095891,1.36986301369863
145000,41.3771405,2.1898353,35,1,1,1,0,1, sur,1,0,0,0,gas,La Barceloneta,2.048113213,0,atico,0,0.66889176,120 - 150,0 - 4,3371 - 5042,2.857142857142857,2.857142857142857
120000,41.4591622,2.1793064,74,3,1,0,0,0,Unknown,0,0,0,0,Unknown,Ciutat Meridiana - Torre Baró - Vallbona,7.965049213,0,piso,0,0.05170725,40 - 70,Unknown,0 - 2337,4.054054054054054,1.3513513513513513
215000,41.3873113,2.1832232,50,1,1,0,0,1,Unknown,0,1,0,1,Unknown,Sant Pere - Santa Caterina i la Ribera,1.112090013,0,piso,0,0.528025049,Unknown,0 - 4,3371 - 5042,2.0,2.0
157500,41.4227697,2.1569967,65,3,1,0,0,1, este,1,0,0,0,Unknown,El Carmel,4.025617177,0,atico,0,0.255245414,40 - 70,0 - 4,0 - 2337,4.615384615384615,1.5384615384615385
1800000,41.3994624,2.1847543,702,6,4,1,0,0,Unknown,0,0,1,1,gas,Eixample,1.784993099,1,chalet_adosado,1,0.389804861,Unknown,Unknown,+5042,0.8547008547008547,0.5698005698005698
94000,41.4456488,2.1757828,50,2,1,0,0,0,Unknown,0,0,0,1,Unknown,Nou Barris,6.441978447,0,piso,0,0.22630989,40 - 70,Unknown,0 - 2337,4.0,2.0
545000,41.391761,2.1569541,93,3,2,1,1,1,Unknown,0,1,0,1,Unknown,Eixample,1.164090091,0,piso,0,0.523906697,120 - 150,Unknown,+5042,3.225806451612903,2.150537634408602
95000,41.4399244,2.1798614,49,2,1,0,0,1,Unknown,0,0,0,0,Unknown,Nou Barris,5.845784942,0,piso,0,0.437217397,40 - 70,0 - 4,0 - 2337,4.081632653061225,2.0408163265306123
419000,41.3801017,2.1543459,86,3,3,0,0,0, sur,0,0,0,0,gas,Eixample,1.562598728,0,piso,0,0.098394227,70 - 120,Unknown,+5042,3.488372093023256,3.488372093023256
